Date,Product,Category,Region,Sales,Quantity,Profit
2026-01-01,Echo Wireless Earbuds,Electronics,East,1200.00,8,400.00
2026-01-02,Quantum Gaming Mouse,Electronics,West,850.00,10,300.00
2026-01-03,ErgoDesk Chair,Furniture,North,3500.00,5,1200.00
2026-01-04,Titan Mechanical Keyboard,Electronics,East,950.00,5,350.00
2026-01-05,Lumbar Support Cushion,Office Supplies,South,120.00,4,45.00
2026-01-06,Aero Stand Desk,Furniture,South,2400.00,3,800.00
2026-01-07,Zen Notepad Pack,Office Supplies,West,75.00,15,30.00
2026-01-08,Echo Wireless Earbuds,Electronics,West,1500.00,10,500.00
2026-01-09,ErgoDesk Chair,Furniture,East,2800.00,4,960.00
2026-01-10,Quantum Gaming Mouse,Electronics,North,425.00,5,150.00
2026-01-11,Zen Notepad Pack,Office Supplies,East,45.00,9,18.00
2026-01-12,Titan Mechanical Keyboard,Electronics,South,570.00,3,210.00
2026-01-13,Lumbar Support Cushion,Office Supplies,North,240.00,8,90.00
2026-01-14,Aero Stand Desk,Furniture,East,1600.00,2,530.00
2026-01-15,Zen Notepad Pack,Office Supplies,South,60.00,12,24.00
